title,genres,releaseYear,imdbAverageRating,imdbNumVotes
The Queen,"Biography, Drama",2006,7.3,117976
The Talented Mr. Ripley,"Crime, Drama, Thriller",1999,7.4,262129
The Remains of the Day,"Drama, Romance",1993,7.8,89087
Ghost Rider,"Action, Fantasy, Thriller",2007,5.3,261913
Letters from Iwo Jima,"Action, Adventure, Drama",2006,7.8,174116
"Don't Worry, I'm Fine",Drama,2006,7.3,11569
The Host,"Drama, Horror, Sci-Fi",2006,7.1,138965
Bridge to Terabithia,"Drama, Family, Fantasy",2007,7.2,183119
Mr. Bean's Holiday,"Comedy, Family",2007,6.4,138593
300,"Action, Drama",2006,7.6,892933
TMNT,"Action, Adventure, Animation",2007,6.2,70966
3-Iron,"Crime, Drama, Romance",2004,7.9,60056
Bean,"Adventure, Comedy, Family",1997,6.5,114010
"Torrente, the Dumb Arm of the Law","Comedy, Crime",1998,6.8,14243
Torrente 2: Mission in Marbella,"Action, Comedy, Crime",2001,6.4,8321
Torrente 3: El protector,"Comedy, Crime",2005,5.6,6571
Four Minutes,"Drama, Music",2006,7.3,7608
American Psycho,"Crime, Drama, Horror",2000,7.6,784849
Frida,"Biography, Drama, Romance",2002,7.3,99051
Sex and Lucía,"Drama, Romance",2001,7,39842
Monster's Ball,"Drama, Romance",2001,7,96623
First Blood,"Action, Adventure, Thriller",1982,7.7,290477
Rambo: First Blood Part II,"Action, Adventure, Thriller",1985,6.5,190261
Rambo III,"Action, Adventure, Thriller",1988,5.8,145548
Blood Diamond,"Adventure, Drama, Thriller",2006,8,608968
Lights in the Dusk,"Crime, Drama",2006,6.8,8521
Y tu mamá también,Drama,2001,7.7,135156
The Pursuit of Happyness,"Biography, Drama",2006,8,594046
Cutthroat Island,"Action, Adventure, Comedy",1995,5.7,32055
"Sex, Lies, and Videotape",Drama,1989,7.2,62369
Pan's Labyrinth,"Drama, Fantasy, War",2006,8.2,726804
Take My Eyes,"Drama, Romance",2003,7.4,7742
The Departed,"Crime, Drama, Thriller",2006,8.5,1493510
Perfume: The Story of a Murderer,"Crime, Drama, Fantasy",2006,7.5,273532
Once Upon a Time in Mexico,"Action, Crime, Thriller",2003,6.3,173889
Little Children,"Drama, Romance",2006,7.5,119822
The Virgin Suicides,"Drama, Romance",1999,7.2,7.2
Hellboy,"Action, Adventure, Fantasy",2004,6.9,362114
Miss Congeniality,"Action, Comedy, Crime",2000,6.3,240800
Curse of the Golden Flower,"Action, Drama, Romance",2006,7,46821
Spy Game,"Action, Crime, Thriller",2001,7.1,172769
Changing Lanes,"Drama, Thriller",2002,6.5,76651
Collateral,"Action, Crime, Drama",2004,7.5,451443
The Lost Boys,"Comedy, Horror",1987,7.2,170356
Down by Law,"Comedy, Crime, Drama",1986,7.6,57243
The Spanish Apartment,"Comedy, Drama, Romance",2002,7.3,43512
28 Weeks Later,"Horror, Sci-Fi",2007,6.9,315385
Chicago,"Comedy, Crime, Musical",2002,7.2,250788
Resident Evil,"Action, Horror, Sci-Fi",2002,6.6,300339
Resident Evil: Apocalypse,"Action, Horror, Sci-Fi",2004,6.1,216431
The Holiday,"Comedy, Romance",2006,7,349692
Lammbock,"Comedy, Crime",2001,7.2,12182
School of Rock,"Comedy, Music",2003,7.2,346310
Secret Window,"Drama, Mystery, Thriller",2004,6.5,216473
What's Eating Gilbert Grape,Drama,1993,7.7,262578
Bring It On,"Comedy, Romance, Sport",2000,6.2,110499
Primal Fear,"Crime, Drama, Mystery",1996,7.7,263202
Hitman,"Action, Crime, Thriller",2007,6.2,183467
Liar Liar,"Comedy, Fantasy",1997,6.9,351141
The People vs. Larry Flynt,"Biography, Drama",1996,7.3,103627
Fried Green Tomatoes,Drama,1991,7.7,87914
Free Willy,"Adventure, Drama, Family",1993,6.1,86377
The Island,"Action, Sci-Fi, Thriller",2005,6.8,334801
Forces of Nature,"Comedy, Romance",1999,5.5,36779
The Net,"Action, Crime, Drama",1995,6,77508
Freedom Writers,"Biography, Crime, Drama",2007,7.6,89891
The Motorcycle Diaries,"Adventure, Biography, Drama",2004,7.7,107163
The Legend of Zorro,"Action, Adventure, Romance",2005,6,111650
Hostel,Horror,2005,5.9,198868
Hostel: Part II,Horror,2007,5.5,99555
Anatomy,"Horror, Thriller",2000,6,14419
Copycat,"Drama, Mystery, Thriller",1995,6.6,71224
The Cider House Rules,"Drama, Romance",1999,7.4,107546
The Incredible Hulk,"Action, Adventure, Sci-Fi",2008,6.6,546291
Iron Man,"Action, Adventure, Sci-Fi",2008,7.9,1178076
The Forbidden Kingdom,"Action, Adventure, Fantasy",2008,6.5,111868
The Mummy Returns,"Action, Adventure, Fantasy",2001,6.4,358545
Next,"Action, Sci-Fi, Thriller",2007,6.2,171145
Footloose,"Drama, Music, Romance",1984,6.6,98403
The Devil's Advocate,"Drama, Fantasy, Mystery",1997,7.5,425359
"You, Me and Dupree","Comedy, Romance",2006,5.6,85766
50 First Dates,"Comedy, Drama, Romance",2004,6.8,400019
Russian Dolls,"Comedy, Drama, Romance",2005,6.9,21668
Rent,"Drama, Musical, Romance",2005,6.8,57195
We Shall Overcome,"Drama, Family",2006,7.2,3028
Transformers,"Action, Adventure, Sci-Fi",2007,7.1,698834
Fantomas Unleashed,"Adventure, Comedy, Crime",1965,6.8,8824
Fantomas,"Adventure, Comedy, Crime",1964,6.9,12945
Fantomas vs. Scotland Yard,"Adventure, Comedy, Crime",1967,6.7,8394
The Karate Kid,"Action, Drama, Family",1984,7.3,260912
Marie Antoinette,"Biography, Drama, History",2006,6.5,127703
Traffic,"Crime, Drama, Thriller",2000,7.5,225557
Open Your Eyes,"Drama, Mystery, Sci-Fi",1997,7.7,75424
Vanilla Sky,"Fantasy, Mystery, Romance",2001,6.9,296426
Memoirs of a Geisha,"Drama, Romance",2005,7.3,167560
Don Juan DeMarco,"Comedy, Drama, Romance",1994,6.7,54449
The Sea Inside,"Biography, Drama",2004,8,87090
"Manta, Manta",Comedy,1991,5.7,6133
Away from Her,Drama,2006,7.5,23471
Sweet November,"Drama, Romance",2001,6.7,97031
September 11,Drama,2002,6.8,6044
Hulk,"Action, Sci-Fi",2003,5.6,286508
The Amazing Spider-Man,"Action, Sci-Fi",2012,6.9,735694
Stomp the Yard,"Drama, Music, Romance",2007,5.4,26881
The Others,"Horror, Mystery, Thriller",2001,7.6,411470
Me and My Sister,"Comedy, Drama",2004,6.4,1923
An Unfinished Life,"Drama, Family, Romance",2005,7,35029
Crank,"Action, Crime, Thriller",2006,6.9,271980
Zodiac,"Crime, Drama, Mystery",2007,7.7,638256
The Butterfly Effect,"Drama, Sci-Fi, Thriller",2004,7.6,541892
Enough,"Crime, Drama, Thriller",2002,5.8,49844
A Perfect Murder,"Crime, Drama, Thriller",1998,6.6,95648
Alexander,"Action, Biography, Drama",2004,5.6,180526
Bra Boys,"Documentary, Sport",2007,6.2,1415
The Constant Gardener,"Drama, Mystery, Romance",2005,7.3,152941
Paranoid Park,"Crime, Drama, Mystery",2007,6.6,32463
Death Proof,"Drama, Thriller",2007,7,325272
Lara Croft: Tomb Raider,"Action, Adventure, Fantasy",2001,5.8,225723
Lara Croft: Tomb Raider - The Cradle of Life,"Action, Adventure, Fantasy",2003,5.5,148865
"4 Months, 3 Weeks and 2 Days",Drama,2007,7.9,64784
Persepolis,"Animation, Biography, Drama",2007,8,103182
Secret Sunshine,Drama,2007,7.5,10250
The Wedding Planner,"Comedy, Romance",2001,5.4,90363
Hard Target,"Action, Crime, Thriller",1993,6.2,59351
Mr. Deeds,"Comedy, Romance",2002,5.8,158913
The Patriot,"Action, Drama, History",2000,7.2,304636
A Few Days with Me,"Comedy, Drama, Romance",1988,7,1285
Hostage,"Action, Crime, Drama",2005,6.5,115070
The Lake House,"Drama, Fantasy, Romance",2006,6.8,161980
The Whole Nine Yards,"Comedy, Crime",2000,6.7,132892
Halloween,Horror,2007,6,135306
Romeo Must Die,"Action, Crime, Thriller",2000,6.1,75728
Requiem,"Action, Crime, Horror",2001,5,589
American Pie,Comedy,1999,7,453170
The Breakfast Club,"Comedy, Drama",1985,7.8,458784
Rush Hour,"Action, Comedy, Crime",1998,7,313123
Payback,"Action, Crime, Drama",1999,7.1,150176
Days of Thunder,"Action, Drama, Sport",1990,6.1,100664
The Perfect Storm,"Action, Adventure, Drama",2000,6.5,184207
The Storm Riders,"Action, Adventure, Fantasy",1998,6.3,4255
Kiss of the Dragon,"Action, Crime, Thriller",2001,6.6,68325
Reindeer Games,"Action, Crime, Thriller",2000,5.8,43661
Wet Hot American Summer,"Comedy, Romance",2001,6.5,62265
The Glass House,"Crime, Drama, Mystery",2001,5.8,41355
Heartbreak Hotel,"Comedy, Drama, Music",2006,5.4,1730
Unfaithful,"Drama, Romance, Thriller",2002,6.7,103546
Eastern Promises,"Crime, Drama, Thriller",2007,7.6,271185
Lola,"Drama, Romance",1981,7.4,7147
The Golden Compass,"Adventure, Family, Fantasy",2007,6.1,200795
Stardust,"Adventure, Fantasy, Romance",2007,7.6,292842
The General's Daughter,"Crime, Drama, Mystery",1999,6.4,66354
Mr. Magorium's Wonder Emporium,"Comedy, Family, Fantasy",2007,6.2,48620
Closer,"Drama, Romance",2004,7.1,245065
Cold Mountain,"Adventure, Drama, Romance",2003,7.2,160940
Clerks,Comedy,1994,7.7,237202
Jay and Silent Bob Strike Back,Comedy,2001,6.8,164273
Space Jam,"Adventure, Animation, Comedy",1996,6.5,223265
The Wounded Man,"Crime, Drama, Romance",1983,6.6,1411
Inkheart,"Adventure, Family, Fantasy",2008,6.1,84128
Beowulf,"Action, Adventure, Animation",2007,6.3,177559
In the Name of the King: A Dungeon Siege Tale,"Action, Adventure, Fantasy",2007,3.8,52237
Executive Decision,"Action, Adventure, Thriller",1996,6.5,63709
Field of Dreams,"Drama, Family, Fantasy",1989,7.5,134624
Taxi,"Action, Comedy, Crime",1998,7,93217
Taxi 2,"Action, Comedy, Crime",2000,6.5,61308
Taxi 3,"Action, Comedy, Crime",2003,5.8,47392
Taxi 4,"Action, Comedy, Crime",2007,5.6,32050
The Boat on the Grass,Drama,1971,5.8,357
Asterix at the Olympic Games,"Adventure, Comedy, Family",2008,5.2,33995
Joint Security Area,"Action, Drama, Thriller",2000,7.7,36591
The Nativity Story,"Adventure, Drama, Family",2006,6.8,12728
Tie Me Up! Tie Me Down!,"Comedy, Crime, Drama",1989,7,33492
The Bourne Identity,"Action, Mystery, Thriller",2002,7.8,596363
The Bourne Supremacy,"Action, Thriller",2004,7.7,501267
The Bourne Ultimatum,"Action, Mystery, Thriller",2007,8,672587
Nobody Knows,Drama,2004,8,33681
Spanglish,"Comedy, Drama, Romance",2004,6.4,90896
The Aviator,"Biography, Drama",2004,7.5,396140
"Planes, Trains & Automobiles","Comedy, Drama",1987,7.6,170642
Uncle Buck,Comedy,1989,7.1,114968
The Great Outdoors,Comedy,1988,6.6,54280
The Specialist,"Action, Drama, Thriller",1994,5.6,71835
Two Weeks Notice,"Comedy, Romance",2002,6.2,131302
The Game,"Drama, Mystery, Thriller",1997,7.7,454369
The Blair Witch Project,"Horror, Mystery",1999,6.5,303266
Sleepy Hollow,"Fantasy, Horror, Mystery",1999,7.3,400497
The Ring,"Horror, Mystery",1998,7.2,82198
Evan Almighty,"Comedy, Family, Fantasy",2007,5.4,159498
The Other Side of the Bed,"Comedy, Drama, Musical",2002,6.4,5969
Indochine,"Drama, Romance, War",1992,7,11404
15 Minutes,"Action, Crime, Drama",2001,6.1,52821
About Schmidt,Drama,2002,7.2,136093
American Pie 2,Comedy,2001,6.5,279748
Rumor Has It...,"Comedy, Drama, Romance",2005,5.5,63576
